"ts","disk_id","throughput","latency"
1659963615,"disk1",11618188.44,31.31
1659963630,"disk1",26335191.74,31.02
1659963645,"disk1",21132352.39,28.17
1659963660,"disk1",20688687.95,26.56
1659963675,"disk1",18190007.48,28.61
1659963690,"disk1",12638793.56,37.82
1659963705,"disk1",25037363.78,40.49
1659963720,"disk1",24194140.5,34.76
1659963735,"disk1",16907107.39,31.87
1659963750,"disk1",14635726.7,37.44
1659963765,"disk1",19502293.09,36.96
1659963780,"disk1",28401689.89,34.94
1659963795,"disk1",18203594.69,38.56
1659963810,"disk1",16709631.33,36.69
1659963825,"disk1",14611881.59,33.31
1659963840,"disk1",17486943.34,30.71
1659963855,"disk1",19032578.89,29.19
1659963870,"disk1",12353586.01,27.01
1659963885,"disk1",14160387.75,27.26
1659963900,"disk1",12204401.36,26.65
1659963915,"disk1",15789773.95,37.74
1659963930,"disk1",17548993.73,34.86
1659963945,"disk1",30934104.89,35.62
1659963960,"disk1",19655343.91,34.36
1659963975,"disk1",13050018.19,37.68
1659963990,"disk1",23095857.5,36.48
1659964005,"disk1",15594171.12,33.84
1659964020,"disk1",18240501.34,33.15
1659964035,"disk1",25536446.11,36.21
1659964050,"disk1",11793080.63,34.78
1659964065,"disk1",17914839.15,32.59
1659964080,"disk1",26010460.62,27.94
1659964095,"disk1",16505600.34,27.78
1659964110,"disk1",19411570.46,29.74
1659964125,"disk1",17103332.01,31.54
1659964140,"disk1",25123212.54,32.52
1659964155,"disk1",24266403.89,37.11
1659964170,"disk1",24803703.05,37.76
1659964185,"disk1",11802866.32,33.76
1659964200,"disk1",29414929.84,35.1
1659964215,"disk1",25298012.51,35.2
1659964230,"disk1",31292865.14,35.47
1659964245,"disk1",12977424.18,25.58
1659964260,"disk1",22235780.07,29.38
1659964275,"disk1",17328628.3,31.74
1659964290,"disk1",12936827.26,31.84
1659964305,"disk1",12178874.52,30.71
1659964320,"disk1",26571097.77,29.52
1659964335,"disk1",18549674.1,31.57
1659964350,"disk1",19657228.6,27.44
1659964365,"disk1",13841268.61,27.61
1659964380,"disk1",13726982.2,24.73
1659964395,"disk1",19897126.86,22.47
1659964410,"disk1",14614578.47,32.81
1659964425,"disk1",21513548.11,31.2
1659964440,"disk1",11421070,32.15
1659964455,"disk1",9721375.26,28.14
1659964470,"disk1",16935246.95,30.47
1659964485,"disk1",32793554.53,30.86
1659964500,"disk1",19719324.11,33.68
1659964515,"disk1",25311905.36,30.1
1659964530,"disk1",11169149.76,32.54
1659964545,"disk1",11746713.26,30.15
1659964560,"disk1",18413472.47,24.2
1659964575,"disk1",13859883.01,28.91
1659964590,"disk1",11688951.25,33.52
1659964605,"disk1",16913223.51,30.05
1659964620,"disk1",27954411.03,25.25
1659964635,"disk1",14102198.83,31.07
1659964650,"disk1",17962975.72,33.66
1659964665,"disk1",22841739.13,30.25
1659964680,"disk1",12984283.74,32.76
1659964695,"disk1",12379932.44,33.7
1659964710,"disk1",19935749.55,31.52
1659964725,"disk1",17541698.23,32.23
1659964740,"disk1",20997463.6,33.12
1659964755,"disk1",17040305.83,35.86
1659964770,"disk1",27744303.32,27.92
1659964785,"disk1",21087159.2,27.2
1659964800,"disk1",15586644.96,32.17
1659964815,"disk1",11804030.69,33.46
1659964830,"disk1",14881624.05,26.03
1659964845,"disk1",14825140.81,30.99
1659964860,"disk1",17042874.85,33.37
1659964875,"disk1",10955847.36,33.24
1659964890,"disk1",20363316.1,33.68
1659964905,"disk1",20222277.26,29.2
1659964920,"disk1",18194236.64,30.37
1659964935,"disk1",20988198.48,30.34
1659964950,"disk1",19976377.2,29.28
1659964965,"disk1",14175620.03,30.98
1659964980,"disk1",17126006.38,28.94
1659964995,"disk1",25738614.23,27.06
1659965010,"disk1",NA,NA
1659965025,"disk1",17903202.92,25.61
1659965040,"disk1",22681894.3,29.76
1659965055,"disk1",18070709.6,30.17
1659965070,"disk1",15263898.98,28.88
1659965085,"disk1",18262652.32,27.82
1659965100,"disk1",17514576.78,30.63
1659965115,"disk1",20658168.79,33.34
1659965130,"disk1",28008187.8,29.56
1659965145,"disk1",25696802.27,31.61
1659965160,"disk1",11747945.83,32.38
1659965175,"disk1",10984618.95,28.13
1659965190,"disk1",21223565.01,27.36
1659965205,"disk1",9289123.87,33.44
1659965220,"disk1",22709012.77,27.16
1659965235,"disk1",20649822.02,31.09
1659965250,"disk1",8364331.99,31.02
1659965265,"disk1",22523299.19,26.7
1659965280,"disk1",13694790.69,30.96
1659965295,"disk1",23307708.59,30.57
1659965310,"disk1",17243348.4,31.2
1659965325,"disk1",12998737.84,32.54
1659965340,"disk1",17534601.03,30.59
1659965355,"disk1",14634913.61,31.55
1659965370,"disk1",18300502.21,32.04
1659965385,"disk1",8900896.23,33.38
1659965400,"disk1",16996319.74,29.94
1659965415,"disk1",21518962.64,30.92
1659965430,"disk1",28954151.13,32.15
1659965445,"disk1",21534649.5,35.62
1659965460,"disk1",21916117.52,35.07
1659965475,"disk1",21909798.3,34.67
1659965490,"disk1",17113761.12,34.34
1659965505,"disk1",22387826.7,36.78
1659965520,"disk1",22957049.8,35.65
1659965535,"disk1",17152056.64,36.63
1659965550,"disk1",17901971.04,36.39
1659965565,"disk1",15023907.59,36.93
1659965580,"disk1",17942006.68,36.01
1659965595,"disk1",20923666.79,34.46
1659965610,"disk1",22412112,37.49
1659965625,"disk1",17243681.57,36.9
1659965640,"disk1",10509038.66,35.9
1659965655,"disk1",34215015.01,29.38
1659965670,"disk1",26346201.25,38.07
1659965685,"disk1",28617300.43,41.64
1659965700,"disk1",17785942.6,38.67
1659965715,"disk1",10352718.59,32.8
1659965730,"disk1",13355620.7,34.48
1659965745,"disk1",22231995.64,29.43
1659965760,"disk1",11338123.53,32.88
1659965775,"disk1",15857090.01,34.93
1659965790,"disk1",16413230.82,34.67
1659965805,"disk1",7747822.38,33.91
1659965820,"disk1",14840773.65,36.57
1659965835,"disk1",23982600.58,33.53
1659965850,"disk1",14188059.13,29.6
1659965865,"disk1",14880551.51,33.9
1659965880,"disk1",20129512.15,32.24
1659965895,"disk1",13572167,33.39
1659965910,"disk1",20895860.42,32.48
1659965925,"disk1",25700647.89,34.78
1659965940,"disk1",22617636.45,34.38
1659965955,"disk1",11598826.98,34.2
1659965970,"disk1",15659707.66,35.15
1659965985,"disk1",18145331.23,30.28
1659966000,"disk1",15281076.67,34.43
1659966015,"disk1",22200976.95,33.83
1659966030,"disk1",6340435.51,31.18
1659966045,"disk1",13927222.83,30.85
1659966060,"disk1",24519012.9,31.22
1659966075,"disk1",NA,NA
1659966090,"disk1",17088160.57,34.19
1659966105,"disk1",20014370.69,35.18
1659966120,"disk1",23006549.34,36.22
1659966135,"disk1",14936919.06,32.75
1659966150,"disk1",17258255.28,32.62
1659966165,"disk1",10906053.7,32.88
1659966180,"disk1",12953228.02,36.22
1659966195,"disk1",21216512.32,30.72
1659966210,"disk1",28964055.92,31.51
1659966225,"disk1",19766391.91,34.12
1659966240,"disk1",10022007.4,35.87
1659966255,"disk1",14941742.54,33.16
1659966270,"disk1",17438958.92,28.75
1659966285,"disk1",13781564.43,32.04
1659966300,"disk1",23682006.61,33.25
1659966315,"disk1",12212508.74,33.94
1659966330,"disk1",28799039.09,33.7
1659966345,"disk1",15192524.31,34.94
1659966360,"disk1",23246385.34,35.73
1659966375,"disk1",24704478.62,34.6
1659966390,"disk1",16644892.91,32.1
1659966405,"disk1",15130583.74,35.43
1659966420,"disk1",21233276.9,35.81
1659966435,"disk1",22645507.58,33.76
1659966450,"disk1",14286477.89,34.54
1659966465,"disk1",24611380.66,34.26
1659966480,"disk1",15216563.21,32.2
1659966495,"disk1",26146463.33,34.96
1659966510,"disk1",12344653.88,36.69
1659966525,"disk1",22189460.45,36.97
1659966540,"disk1",15384426.97,32.56
1659966555,"disk1",17747476.48,33.54
1659966570,"disk1",21127373.5,30.71
1659966585,"disk1",15914591.89,31.3
1659966600,"disk1",19498393.69,33.51
1659966615,"disk1",NA,NA
1659966630,"disk1",9708891.21,33.63
1659966645,"disk1",12535130.26,32
1659966660,"disk1",14418858,31.96
1659966675,"disk1",13775587.44,32.04
1659966690,"disk1",15671423.72,32.99
1659966705,"disk1",13544905.16,32.39
1659966720,"disk1",18975028.25,32
1659966735,"disk1",9191715.09,31.05
1659966750,"disk1",17249135,30.98
1659966765,"disk1",24677733.78,33.22
1659966780,"disk1",19864449.62,35.49
1659966795,"disk1",8727691.3,36.14
1659966810,"disk1",16903884.4,32.66
1659966825,"disk1",15838310.7,33.35
1659966840,"disk1",18110346.31,32.65
1659966855,"disk1",23524288.41,33.29
1659966870,"disk1",8292582.81,32.06
1659966885,"disk1",18524256.05,33.99
1659966900,"disk1",17136197.39,29.78
1659966915,"disk1",7128904.23,36.02
1659966930,"disk1",22643696.97,29.88
1659966945,"disk1",16372825.19,24.79
1659966960,"disk1",13390719.18,31.31
1659966975,"disk1",17906387.46,33.06
1659966990,"disk1",11361065.91,30.13
1659967005,"disk1",14657392.38,31.37
1659967020,"disk1",15463005.91,28.83
1659967035,"disk1",17946605.95,32.49
1659967050,"disk1",16425677.88,30.16
1659967065,"disk1",7563490.35,30.58
1659967080,"disk1",15567246.15,30.92
1659967095,"disk1",6245595.64,26.59
1659967110,"disk1",10623100.23,30.81
1659967125,"disk1",9233535.53,25.42
1659967140,"disk1",15121728.22,31.44
1659967155,"disk1",18646873.23,29.58
1659967170,"disk1",15695292.51,32.1
1659967185,"disk1",13748379.38,32.43
1659967200,"disk1",21947694.09,32.28
1659967215,"disk1",9616547.28,31.53
1659967230,"disk1",23669963.76,29.45
1659967245,"disk1",30893240.5,28.33
1659967260,"disk1",14494830.87,27.82
1659967275,"disk1",10777227.97,32.13
1659967290,"disk1",14381780.28,32.4
1659967305,"disk1",14587967.93,36.19
1659967320,"disk1",24995828.09,29.18
1659967335,"disk1",18229424.92,26.43
1659967350,"disk1",17820917.84,28.15
1659967365,"disk1",15694355.23,32.89
1659967380,"disk1",19430781.66,29.87
1659967395,"disk1",24672810.41,32.14
1659967410,"disk1",14934117.7,32
1659967425,"disk1",16347718.04,32.8
1659967440,"disk1",26506567.44,32.36
1659967455,"disk1",17928226.54,30.92
1659967470,"disk1",26446517.26,29.1
1659967485,"disk1",20637534.01,32.04
1659967500,"disk1",27466237.96,29.51
1659967515,"disk1",18718032.68,33.36
1659967530,"disk1",21223354.17,28.7
1659967545,"disk1",20362986.11,29.71
1659967560,"disk1",11701054.8,20.08
1659967575,"disk1",19988500.24,28.59
1659967590,"disk1",16657254.13,28.16
1659967605,"disk1",18391017.99,28.01
1659967620,"disk1",27891770.04,23.7
1659967635,"disk1",13811560.99,25.11
1659967650,"disk1",31373878.05,20.5
1659967665,"disk1",32439168.58,22.73
1659967680,"disk1",19916609.2,26.52
1659967695,"disk1",22099891.78,21
1659967710,"disk1",29421198.25,27.58
1659967725,"disk1",24120976.46,26.68
1659967740,"disk1",14762152.17,24.58
1659967755,"disk1",23381262.99,25.34
1659967770,"disk1",28440401.3,25.84
1659967785,"disk1",27175233.69,23.11
1659967800,"disk1",21146987.24,19.25
1659967815,"disk1",18141398.05,22.58
1659967830,"disk1",34480964.34,25.06
1659967845,"disk1",25245459.29,27.11
1659967860,"disk1",15901520.12,24.14
1659967875,"disk1",19819745.76,22.8
1659967890,"disk1",19853691.99,22.04
1659967905,"disk1",28442810.7,26.88
1659967920,"disk1",16811332.25,25.47
1659967935,"disk1",16839155.89,21.29
1659967950,"disk1",21646573.5,23.57
1659967965,"disk1",19634094.31,25.49
1659967980,"disk1",31880348.25,25.39
1659967995,"disk1",20157840.53,22.82
1659968010,"disk1",20974259.04,25.35
1659968025,"disk1",19491330.38,25.89
1659968040,"disk1",25240273.1,24.5
1659968055,"disk1",24792715.48,28.98
1659968070,"disk1",23993712.12,23.76
1659968085,"disk1",16790836.26,26.76
